League,Multiplier,n_migrations,w_data
Premier League,1.0,97,0.866
Italian Serie A,0.871,56,0.789
Ligue 1,0.856,46,0.754
La Liga,0.849,83,0.847
Bundesliga,0.84,47,0.758
Liga Profesional,0.805,6,0.286
Serie A BRA,0.776,7,0.318
Championship,0.77,85,0.85
Liga Pro,0.756,1,0.062
Super Lig,0.753,48,0.762
Pro League,0.752,47,0.758
MLS,0.746,12,0.444
Eliteserien,0.74,4,0.211
Ekstraklasa,0.713,23,0.605
Eredivisie,0.711,29,0.659
Primeira Liga,0.703,38,0.717
Superligaen,0.686,18,0.545
Segunda Division,0.685,62,0.805
Swiss Super League,0.681,25,0.625
Prva HNL,0.658,12,0.444
