competitie_naam,position,leeftijd_categorie,gemiddelde_fee,mediaan_fee,aantal_transfers
premier-league,Attack,22-24,19242790.69767442,16325000.0,86
serie-a,Defender,25-27,10198352.94117647,5300000.0,85
ligue-1,Attack,22-24,11443589.743589744,5000000.0,78
serie-a,Defender,22-24,9762576.923076924,5000000.0,78
bundesliga,Attack,22-24,14159090.909090908,5000000.0,77
ligue-1,Midfield,22-24,12761710.52631579,6750000.0,76
serie-a,Midfield,25-27,11314459.45945946,6825000.0,74
bundesliga,Midfield,22-24,12816301.369863013,6000000.0,73
bundesliga,Defender,22-24,9672739.726027397,4000000.0,73
premier-league,Attack,25-27,25488630.1369863,16500000.0,73
ligue-1,Defender,22-24,7081594.202898551,4000000.0,69
ligue-1,Attack,25-27,8675147.05882353,5000000.0,68
bundesliga,Attack,25-27,11603882.352941176,5250000.0,68
serie-a,Attack,25-27,13516307.692307692,10500000.0,65
bundesliga,Midfield,25-27,6633225.806451613,3325000.0,62
bundesliga,Defender,25-27,8322131.147540984,4500000.0,61
ligue-1,Defender,25-27,9376166.666666666,5000000.0,60
laliga,Attack,22-24,10841271.186440678,5500000.0,59
serie-a,Midfield,22-24,10976949.152542373,8000000.0,59
premier-league,Defender,22-24,18447206.896551725,13300000.0,58
premier-league,Midfield,22-24,16591754.385964911,11000000.0,57
eredivisie,Attack,22-24,9755714.285714285,3750000.0,56
liga-portugal,Attack,25-27,6813636.363636363,3000000.0,55
ligue-1,Defender,19-21,9719444.444444444,5000000.0,54
laliga,Defender,25-27,10639716.981132075,6700000.0,53
premier-liga,Attack,25-27,4336886.79245283,2000000.0,53
laliga,Attack,25-27,12016037.735849056,8000000.0,53
serie-a,Attack,22-24,14137692.307692308,8180000.0,52
eredivisie,Midfield,22-24,6314326.923076923,1375000.0,52
liga-portugal,Attack,22-24,9064120.0,2350000.0,50
premier-league,Attack,28-30,15482800.0,5625000.0,50
premier-liga,Attack,22-24,3964163.2653061226,600000.0,49
ligue-1,Midfield,25-27,9578958.333333334,6000000.0,48
premier-league,Defender,25-27,13898083.333333334,6450000.0,48
laliga,Defender,22-24,14156250.0,8000000.0,48
ligue-1,Attack,19-21,15795744.680851065,8500000.0,47
jupiler-pro-league,Attack,25-27,5387382.978723404,3500000.0,47
liga-portugal,Defender,22-24,8846065.217391305,2500000.0,46
premier-league,Midfield,25-27,23872444.444444444,15000000.0,45
jupiler-pro-league,Attack,22-24,5370666.666666667,3000000.0,45
premier-liga,Defender,22-24,2227222.222222222,520000.0,45
premier-liga,Defender,25-27,1239697.6744186047,600000.0,43
liga-portugal,Defender,25-27,3198720.930232558,2000000.0,43
eredivisie,Defender,22-24,5326500.0,2600000.0,42
jupiler-pro-league,Defender,25-27,3395975.6097560977,2500000.0,41
eredivisie,Attack,25-27,6904268.292682927,2000000.0,41
superliga,Midfield,22-24,2499390.2439024393,1000000.0,41
superliga,Attack,22-24,3513725.0,1325000.0,40
ligue-1,Midfield,19-21,8123750.0,5250000.0,40
liga-portugal,Midfield,22-24,12353846.153846154,3500000.0,39
premier-liga,Midfield,22-24,3068076.923076923,600000.0,39
premier-liga,Midfield,25-27,4377179.487179487,680000.0,39
eredivisie,Midfield,25-27,5816794.871794872,1400000.0,39
serie-a,Attack,28-30,11625000.0,5865000.0,38
premier-league,Midfield,28-30,13502368.421052631,8000000.0,38
laliga,Midfield,22-24,12104054.054054054,5000000.0,37
bundesliga,Attack,19-21,12664324.324324325,5000000.0,37
laliga,Midfield,25-27,11582432.432432432,3600000.0,37
superliga,Defender,22-24,2242864.864864865,1000000.0,37
premier-league,Defender,28-30,12154864.864864865,7500000.0,37
jupiler-pro-league,Defender,22-24,4498675.675675675,3000000.0,37
campeonato-brasileiro-serie-a,Attack,19-21,11306666.666666666,8500000.0,36
