competitie_naam,position,mediaan_fee,aantal_transfers
a-league-men,Attack,687500.0,4
a-league-men,Defender,500000.0,5
a-league-men,Goalkeeper,1500000.0,1
a-league-men,Midfield,350000.0,3
allsvenskan,Attack,2000000.0,44
allsvenskan,Defender,1500000.0,40
allsvenskan,Goalkeeper,1300000.0,4
allsvenskan,Midfield,1300000.0,29
bundesliga,Attack,4000000.0,239
bundesliga,Defender,4000000.0,195
bundesliga,Goalkeeper,1225000.0,46
bundesliga,Midfield,4500000.0,190
campeonato-brasileiro-serie-a,Attack,5000000.0,81
campeonato-brasileiro-serie-a,Defender,4500000.0,68
campeonato-brasileiro-serie-a,Goalkeeper,925000.0,10
campeonato-brasileiro-serie-a,Midfield,6000000.0,47
chance-liga,Attack,2000000.0,15
chance-liga,Defender,1000000.0,26
chance-liga,Goalkeeper,2000000.0,6
chance-liga,Midfield,2000000.0,17
eliteserien,Attack,2550000.0,40
eliteserien,Defender,850000.0,22
eliteserien,Goalkeeper,800000.0,6
eliteserien,Midfield,1270000.0,31
eredivisie,Attack,2500000.0,130
eredivisie,Defender,2000000.0,104
eredivisie,Goalkeeper,1500000.0,21
eredivisie,Midfield,1250000.0,125
j1-league,Attack,1300000.0,11
j1-league,Defender,800000.0,9
j1-league,Goalkeeper,2500000.0,2
j1-league,Midfield,1000000.0,14
jupiler-pro-league,Attack,3120000.0,140
jupiler-pro-league,Defender,2500000.0,119
jupiler-pro-league,Goalkeeper,1150000.0,22
jupiler-pro-league,Midfield,2100000.0,97
k-league-1,Attack,1000000.0,7
k-league-1,Defender,3375000.0,2
k-league-1,Midfield,900000.0,3
laliga,Attack,5800000.0,183
laliga,Defender,6000000.0,160
laliga,Goalkeeper,4000000.0,28
laliga,Midfield,4000000.0,116
liga-betplay-dimayor,Attack,1850000.0,12
liga-betplay-dimayor,Defender,2500000.0,10
liga-betplay-dimayor,Goalkeeper,1100000.0,2
liga-betplay-dimayor,Midfield,1470000.0,6
liga-mx-clausura,Attack,4000000.0,12
liga-mx-clausura,Defender,3500000.0,13
liga-mx-clausura,Goalkeeper,7700000.0,1
liga-mx-clausura,Midfield,7300000.0,11
liga-portugal,Attack,3000000.0,156
liga-portugal,Defender,2000000.0,121
liga-portugal,Goalkeeper,1750000.0,18
liga-portugal,Midfield,3050000.0,88
ligue-1,Attack,6000000.0,232
ligue-1,Defender,4000000.0,224
ligue-1,Goalkeeper,2500000.0,39
ligue-1,Midfield,5550000.0,208
major-league-soccer,Attack,2750000.0,30
major-league-soccer,Defender,1350000.0,28
major-league-soccer,Goalkeeper,7955000.0,4
major-league-soccer,Midfield,2490000.0,23
pko-bp-ekstraklasa,Attack,1900000.0,24
pko-bp-ekstraklasa,Defender,1550000.0,16
pko-bp-ekstraklasa,Goalkeeper,250000.0,9
pko-bp-ekstraklasa,Midfield,2000000.0,27
premier-league,Attack,12500000.0,243
premier-league,Defender,8700000.0,177
premier-league,Goalkeeper,6500000.0,54
premier-league,Midfield,10000000.0,176
premier-liga,Attack,1200000.0,150
premier-liga,Defender,600000.0,135
premier-liga,Goalkeeper,320000.0,34
premier-liga,Midfield,665000.0,120
saudi-pro-league,Attack,8000000.0,3
saudi-pro-league,Defender,6250000.0,2
saudi-pro-league,Midfield,20000000.0,3
scottish-premiership,Attack,1200000.0,39
scottish-premiership,Defender,1200000.0,31
scottish-premiership,Goalkeeper,60000.0,1
scottish-premiership,Midfield,1500000.0,21
serie-a,Attack,7450000.0,189
serie-a,Defender,4250000.0,240
serie-a,Goalkeeper,2240000.0,62
serie-a,Midfield,6200000.0,203
super-league,Attack,4000000.0,37
super-league,Defender,2500000.0,43
super-league,Goalkeeper,4000000.0,4
super-league,Midfield,2250000.0,29
super-league-1,Attack,1000000.0,47
super-league-1,Defender,700000.0,45
super-league-1,Goalkeeper,700000.0,12
super-league-1,Midfield,500000.0,30
super-lig,Attack,1950000.0,82
super-lig,Defender,1350000.0,71
super-lig,Goalkeeper,1175000.0,14
super-lig,Midfield,1400000.0,63
super-liga-srbije,Attack,1200000.0,37
super-liga-srbije,Defender,1050000.0,24
super-liga-srbije,Goalkeeper,857500.0,2
super-liga-srbije,Midfield,1200000.0,23
superliga,Attack,1500000.0,115
superliga,Defender,869500.0,88
superliga,Goalkeeper,1040000.0,26
superliga,Midfield,1490000.0,78
supersport-hnl,Attack,1500000.0,21
supersport-hnl,Defender,2500000.0,24
supersport-hnl,Goalkeeper,1900000.0,9
supersport-hnl,Midfield,1800000.0,33
torneo-apertura,Attack,4500000.0,37
torneo-apertura,Defender,3500000.0,45
torneo-apertura,Goalkeeper,1800000.0,3
torneo-apertura,Midfield,6000000.0,41
